settlement-id,settlement-start-date,settlement-end-date,deposit-date,total-amount,currency,transaction-type,order-id,merchant-order-id,adjustment-id,shipment-id,marketplace-name,amount-type,amount-description,amount,fulfillment-id,posted-date,posted-date-time,order-item-code,merchant-order-item-id,merchant-adjustment-item-id,sku,quantity-purchased,promotion-id
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-4567890-1234567,206-4567890-1234567,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-3.75,,2024-11-27,2024-11-27T11:28:33+00:00,45678901234567,,,SKU-BASIC-004,2,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-4567890-1234567,206-4567890-1234567,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-2.15,,2024-11-27,2024-11-27T11:28:33+00:00,45678901234567,,,SKU-BASIC-004,2,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-5678901-2345678,206-5678901-2345678,,,DFqhGnDSRd2z8,Principal,Principal,45.00,,2024-11-27,2024-11-27T18:55:09+00:00,56789012345678,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-5678901-2345678,206-5678901-2345678,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-6.75,,2024-11-27,2024-11-27T18:55:09+00:00,56789012345678,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-5678901-2345678,206-5678901-2345678,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-2.98,,2024-11-27,2024-11-27T18:55:09+00:00,56789012345678,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Refund,206-1234567-8901234,206-1234567-8901234,,,DFqhGnDSRd2z8,Principal,Principal,-50.00,,2024-11-27,2024-11-27T20:12:45+00:00,12345678901234,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Refund,206-1234567-8901234,206-1234567-8901234,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,7.50,,2024-11-27,2024-11-27T20:12:45+00:00,12345678901234,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Refund,206-1234567-8901234,206-1234567-8901234,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,3.06,,2024-11-27,2024-11-27T20:12:45+00:00,12345678901234,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Adjustment,,,ADJ-2024-001,,,DFqhGnDSRd2z8,Other,FBA Inventory Reimbursement,15.00,,,2024-11-27,2024-11-27T23:00:00+00:00,,,ADJ-2024-001,SKU-WIDGET-001,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-6789012-3456789,206-6789012-3456789,,,DFqhGnDSRd2z8,Principal,Principal,129.99,,2024-11-28,2024-11-28T10:15:30+00:00,67890123456789,,,SKU-DELUXE-005,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-6789012-3456789,206-6789012-3456789,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-19.50,,2024-11-28,2024-11-28T10:15:30+00:00,67890123456789,,,SKU-DELUXE-005,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-6789012-3456789,206-6789012-3456789,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-5.23,,2024-11-28,2024-11-28T10:15:30+00:00,67890123456789,,,SKU-DELUXE-005,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-7890123-4567890,206-7890123-4567890,,,DFqhGnDSRd2z8,Principal,Principal,75.00,,2024-11-29,2024-11-29T14:22:18+00:00,78901234567890,,,SKU-STANDARD-006,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-7890123-4567890,206-7890123-4567890,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-11.25,,2024-11-29,2024-11-29T14:22:18+00:00,78901234567890,,,SKU-STANDARD-006,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-7890123-4567890,206-7890123-4567890,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-3.87,,2024-11-29,2024-11-29T14:22:18+00:00,78901234567890,,,SKU-STANDARD-006,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-8901234-5678901,206-8901234-5678901,,,DFqhGnDSRd2z8,Principal,Principal,199.99,,2024-11-30,2024-11-30T09:45:55+00:00,89012345678901,,,SKU-PREMIUM-007,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-8901234-5678901,206-8901234-5678901,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-30.00,,2024-11-30,2024-11-30T09:45:55+00:00,89012345678901,,,SKU-PREMIUM-007,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-8901234-5678901,206-8901234-5678901,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-6.45,,2024-11-30,2024-11-30T09:45:55+00:00,89012345678901,,,SKU-PREMIUM-007,1,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-9012345-6789012,206-9012345-6789012,,,DFqhGnDSRd2z8,Principal,Principal,59.99,,2024-12-01,2024-12-01T16:30:42+00:00,90123456789012,,,SKU-GADGET-008,3,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-9012345-6789012,206-9012345-6789012,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-9.00,,2024-12-01,2024-12-01T16:30:42+00:00,90123456789012,,,SKU-GADGET-008,3,
23456789,2024-11-28T00:00:00+00:00,2024-12-01T23:59:59+00:00,2024-12-03,387.42,GBP,Order,206-9012345-6789012,206-9012345-6789012,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-3.22,,2024-12-01,2024-12-01T16:30:42+00:00,90123456789012,,,SKU-GADGET-008,3,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-0123456-7890123,206-0123456-7890123,,,DFqhGnDSRd2z8,Principal,Principal,42.50,,2024-12-02,2024-12-02T11:20:15+00:00,01234567890123,,,SKU-BASIC-009,1,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-0123456-7890123,206-0123456-7890123,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-6.38,,2024-12-02,2024-12-02T11:20:15+00:00,01234567890123,,,SKU-BASIC-009,1,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-0123456-7890123,206-0123456-7890123,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-2.67,,2024-12-02,2024-12-02T11:20:15+00:00,01234567890123,,,SKU-BASIC-009,1,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-1234567-8901235,206-1234567-8901235,,,DFqhGnDSRd2z8,Principal,Principal,95.00,,2024-12-03,2024-12-03T15:42:30+00:00,12345678901235,,,SKU-WIDGET-010,2,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-1234567-8901235,206-1234567-8901235,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-14.25,,2024-12-03,2024-12-03T15:42:30+00:00,12345678901235,,,SKU-WIDGET-010,2,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-1234567-8901235,206-1234567-8901235,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-4.12,,2024-12-03,2024-12-03T15:42:30+00:00,12345678901235,,,SKU-WIDGET-010,2,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-2345678-9012346,206-2345678-9012346,,,DFqhGnDSRd2z8,Principal,Principal,32.00,,2024-12-04,2024-12-04T08:18:22+00:00,23456789012346,,,SKU-BASIC-004,1,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-2345678-9012346,206-2345678-9012346,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-4.80,,2024-12-04,2024-12-04T08:18:22+00:00,23456789012346,,,SKU-BASIC-004,1,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,Order,206-2345678-9012346,206-2345678-9012346,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-2.30,,2024-12-04,2024-12-04T08:18:22+00:00,23456789012346,,,SKU-BASIC-004,1,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,ServiceFee,,,,,,,FBAInboundTransportationFee,FBA Inbound Transportation Fee,-8.00,,,2024-12-04,2024-12-04T23:00:00+00:00,,,,,0,
34567890,2024-12-02T00:00:00+00:00,2024-12-04T23:59:59+00:00,2024-12-06,156.28,GBP,ServiceFee,,,,,,,FBAStorageFee,FBA Storage Fee - November 2024,-5.00,,,2024-12-04,2024-12-04T23:00:00+00:00,,,,,0,
